148,194
148,193
148,191
149,188
150,184
150,179
151,174
152,167
153,159
156,150
158,142
159,132
162,122
164,115
167,107
170,100
175,94
178,88
182,83
184,80
187,77
190,74
193,72
194,70
196,69
197,69
198,69
199,69
200,70
201,70
202,71
202,72
203,73
203,74
204,76
204,80
205,81
205,84
205,87
205,89
205,92
204,94
204,97
203,100
202,101
202,101
200,104
200,105
200,106
201,106
202,104
207,99
209,96
209,96
214,93
218,88
222,85
229,79
234,76
239,71
242,69
245,67
250,64
251,64
252,63
253,63
254,63
254,64
256,66
260,70
267,76
272,80
276,83
279,87
280,89
281,92
281,95
281,99
281,103
281,103
281,107
280,111
278,114
275,119
269,125
265,128
259,131
254,134
247,136
241,139
234,142
229,143
222,146
218,147
214,148
209,149
205,150
202,152
198,153
194,154
191,155
189,157
186,157
184,157
181,158
179,158
178,158
175,159
174,159
173,160
173,161
172,161
171,161
170,161
170,162
168,162
166,164
164,165
161,166
160,167
157,169
155,170
153,172
152,172
150,174
149,175
148,175
147,177
146,177
145,177
145,178
144,179
143,179
383,305
383,304
383,302
383,300
383,295
384,286
385,278
386,267
389,255
392,244
393,234
394,224
395,214
396,206
398,198
399,193
400,188
401,185
401,184
402,184
403,184
404,184
407,184
410,184
415,184
422,182
427,181
432,179
436,178
442,176
443,176
446,175
447,174
449,174
452,173
453,172
458,172
465,170
471,170
478,168
485,166
494,164
502,161
507,160
514,158
517,157
521,155
523,153
526,153
527,152
528,151
529,150
530,150
532,150
533,155
535,159
535,163
538,169
540,175
545,183
547,187
552,193
552,197
556,201
558,208
561,213
562,217
566,224
567,228
568,232
569,235
569,238
569,239
570,241
570,242
570,245
570,251
570,256
570,263
569,269
569,274
568,281
567,286
567,293
566,298
566,301
565,304
565,307
565,308
565,310
565,311
564,312
564,313
564,314
564,315
564,316
563,316
560,316
551,316
543,316
534,315
528,315
518,314
505,311
492,310
481,309
471,307
463,306
456,306
450,306
443,306
440,305
436,305
433,305
431,305
428,305
426,305
423,305
421,305
418,305
415,305
412,305
409,305
407,305
404,305
402,305
399,305
397,305
395,305
394,305
392,305
390,304
389,304
388,304
386,304
385,304
385,305
